"evidence_id","category","path","description","source_stage","sha256","frozen_status","release_relationship","assurance_purpose","integrity_status","notes"
"EV-SCHEMA-001","feature_contract","artifacts/model/input_schema.json","Strict 17-field production input schema and category mappings","Stage 9","fe09366c67bfc62594e6c4b212f224dc8ee15634c0a2536f78988383959b4645","SUPPORTING_FROZEN","RELEASE_ARTIFACT","Establish production predictor contract","VERIFIED_RELEASE_GIT_BLOB","Audit-only fields are rejected"
"EV-CV-001","cross_validation","reports/stage4/fold_membership.csv","Persisted five-fold development membership","Stage 4","513fc9249a4c00be3ba67fa99ea20a7ac76b653694130cf66733ea08f97d0b92","SUPPORTING_FROZEN","RELEASE_EVIDENCE","Trace paired and nested validation membership","VERIFIED_RELEASE_GIT_BLOB","Development observations only"
"EV-SELECT-001","model_selection","reports/stage4/model_comparison.csv","Untuned Logistic Regression, Random Forest, and XGBoost comparison","Stage 4","9fd8531e718269f35136b763b131a4195524ee5a4050cc018849673c27795303","SUPPORTING_FROZEN","RELEASE_EVIDENCE","Navigate model-family comparison evidence","VERIFIED_RELEASE_GIT_BLOB","A0/A1 does not assess the comparison"
"EV-SELECT-002","model_selection","reports/stage4/development_oof_predictions.csv","Paired development out-of-fold model predictions","Stage 4","c1e96b552ca7f5510f8aa9eda88db128e9cfbdd8ef30ca8535fac69646c486f9","SUPPORTING_FROZEN","RELEASE_EVIDENCE","Support later selection re-performance","VERIFIED_RELEASE_GIT_BLOB","No holdout predictions"
"EV-SELECT-003","model_selection","reports/stage4/run_summary.json","Stage 4 configurations, controls, hashes, and environment","Stage 4","176f6656f6ca80d6f8dced3c45845ed3e135f72255d11a2333f06832930ee5f9","SUPPORTING_FROZEN","RELEASE_EVIDENCE","Trace untuned comparison design","VERIFIED_RELEASE_GIT_BLOB","Project-generated record"
"EV-TUNE-001","nested_tuning","reports/stage5/nested_oof_predictions.csv","Nested-CV tuned XGBoost development predictions","Stage 5","eecccdb9ae24d747562b5914c5f54bc5838688df4019b013552d1b87217460f5","SUPPORTING_FROZEN","RELEASE_EVIDENCE","Support later challenge of tuning decision","VERIFIED_RELEASE_GIT_BLOB","Preserved negative evidence"
"EV-TUNE-002","nested_tuning","reports/stage5/search_results_compact.csv","Compact inner-search results by outer fold","Stage 5","0bccb3eea5d49a9219ae9da22b5a08b1854e3be90e66fd332b11049687ccaab9","SUPPORTING_FROZEN","RELEASE_EVIDENCE","Trace sampled configurations and selection ranks","VERIFIED_RELEASE_GIT_BLOB","No estimator objects"
"EV-TUNE-003","nested_tuning","reports/stage5/run_summary.json","Nested design, search space, controls, and evidence hashes","Stage 5","4573615e717e49ca6549a561bdfa087422cef9a85f16a5b27b80ed2504fe9aef","SUPPORTING_FROZEN","RELEASE_EVIDENCE","Navigate tuning methodology and outcome record","VERIFIED_RELEASE_GIT_BLOB","A0/A1 does not score methodology"
"EV-CAL-001","calibration","reports/stage6/full_development_calibration_comparison.csv","Development-wide comparison of allowed calibration strategies","Stage 6","ae738a4408c9942139f649733460a7824a5953f371665fc3454fff5f8387fb9f","SUPPORTING_FROZEN","RELEASE_EVIDENCE","Trace calibration choice","VERIFIED_RELEASE_GIT_BLOB","Not an unbiased final-performance estimate"
"EV-CAL-002","calibration","reports/stage6/nested_policy_oof_predictions.csv","Outer-fold OOF evidence for combined policy selection procedure","Stage 6","a11703e95c1fd17c05de3c2636aba4bab74bdd3d93a992140cefd0b58bbda621","SUPPORTING_FROZEN","RELEASE_EVIDENCE","Support later calibration and policy re-performance","VERIFIED_RELEASE_GIT_BLOB","Development-only"
"EV-THRESH-001","threshold_policy","reports/stage6/threshold_search.csv","Predefined-grid development threshold search","Stage 6","4f738292925c51242b34fad89d8a9c763c19014a3de3afea31f3968c3e7ac1a9","SUPPORTING_FROZEN","RELEASE_EVIDENCE","Trace threshold 0.16 selection","VERIFIED_RELEASE_GIT_BLOB","No holdout threshold search"
"EV-CAL-003","calibration","reports/stage6/run_summary.json","Calibration architecture, threshold controls, and evidence hashes","Stage 6/6P","c02928a5496fcec95ef24c6fc3118780d92563a6290f629eeaf529d81ede7c19","SUPPORTING_FROZEN","RELEASE_EVIDENCE","Navigate combined policy design","VERIFIED_RELEASE_GIT_BLOB","Records ensemble behavior after 6P clarification"
"EV-HOLDOUT-003","final_holdout","reports/stage6/final_holdout_protocol.md","Protocol frozen before one-time holdout access","Stage 6P","77432d4dd29abca0013683421566fe4f84c38e6a2168e69751408a1c318bb967","SUPPORTING_FROZEN","RELEASE_EVIDENCE","Trace pre-specified holdout procedure","VERIFIED_RELEASE_GIT_BLOB","Pre-access protocol"
"EV-HOLDOUT-004","final_holdout","reports/stage7/pre_access_manifest.json","Timestamped locked hashes, environment, policy, and metric list before access","Stage 7","95ae2f638f69b0c932e33855ededc796da81c4c36ec37f192ce2d7335b0b516e","SUPPORTING_FROZEN","RELEASE_EVIDENCE","Establish pre-access state","VERIFIED_RELEASE_GIT_BLOB","Project-generated manifest"
"EV-HOLDOUT-005","final_holdout","reports/stage7/holdout_access_log.json","One-time holdout access event record","Stage 7","c83e4f435c34707979efcd7058ac12bed2df329f9e39a0f27c0705102390a4a0","SUPPORTING_FROZEN","RELEASE_EVIDENCE","Trace access sequence and incident status","VERIFIED_RELEASE_GIT_BLOB","Project-generated log; not an external attestation"
"EV-HOLDOUT-006","final_holdout","reports/stage7/final_evaluation_summary.md","Narrative of frozen one-time evaluation","Stage 7","2682582eaeace5d1c9791c6947e3d50e9211362df18e3e59f817efea61955478","SUPPORTING","RELEASE_DOCUMENTATION","Navigate released evaluation claims and boundaries","VERIFIED_RELEASE_GIT_BLOB","Metrics are separately canonical in EV-HOLDOUT-002"
"EV-XAI-001","explainability","reports/stage8/original_feature_shap_importance.csv","Original-feature aggregation of development SHAP evidence","Stage 8","2382330bd4ce644da68f4262f3200761c7126b8a863720a206a883e8f2a5b348","SUPPORTING_FROZEN","RELEASE_EVIDENCE","Navigate post-hoc explainability evidence","VERIFIED_RELEASE_GIT_BLOB","Underlying tree-margin explanations; not calibrated-probability decomposition"
"EV-XAI-002","explainability","reports/stage8/explainability_report.md","SHAP methodology, scale, aggregation, and limitations","Stage 8","cc6d4b295addda191131d5fe07c2c2b3fa83aeda972afee43006c480d4b37c2c","SUPPORTING","RELEASE_DOCUMENTATION","Navigate explainability design and cautions","VERIFIED_RELEASE_GIT_BLOB","Development population is primary"
"EV-RAI-001","responsible_ai","reports/stage8/subgroup_metrics.csv","Development OOF subgroup diagnostics using audit-only joins","Stage 8","8384e21a388c2fe6ce8e103b6f018039129468d9e1ec2b3f159a820bd6cc8f1f","SUPPORTING_FROZEN","RELEASE_EVIDENCE","Navigate descriptive subgroup evidence","VERIFIED_RELEASE_GIT_BLOB","Does not establish fairness"
"EV-RAI-002","responsible_ai","reports/stage8/proxy_risk_register.csv","Qualitative socioeconomic proxy-risk register","Stage 8","271adc6f576b4c51d8dd4a320d93aaf62af6f5b31b8099fea775404148d4a7b6","SUPPORTING_FROZEN","RELEASE_EVIDENCE","Navigate proxy-risk governance","VERIFIED_RELEASE_GIT_BLOB","No predictor removal followed"
"EV-RAI-003","responsible_ai","reports/stage8/responsible_ai_audit.md","Responsible-AI audit narrative and limitations","Stage 8","04c6e100ad845dd363b4897a4923b1df843fa1c55ff8aba639bd65d0109dae70","SUPPORTING","RELEASE_DOCUMENTATION","Navigate subgroup, proxy, and governance evidence","VERIFIED_RELEASE_GIT_BLOB","Same-person project assessment"
"EV-RAI-004","responsible_ai","reports/stage8/model_card.md","Released model card","Stage 8","d5705f31f12b256334aeeb3d7e6fc3a378427778131f53ac42f60832078f4ad7","SUPPORTING","RELEASE_DOCUMENTATION","Navigate intended/prohibited use and limitations","VERIFIED_RELEASE_GIT_BLOB","Later assurance must independently challenge rather than adopt claims"
"EV-META-001","runtime_metadata","artifacts/model/model_manifest.json","Model identity, environment, policy, hashes, and use metadata","Stage 9","3f0e440d7ba9bce0959d44b2753a322ed952a364ceb67be2ebff5ba9837f1e8f","SUPPORTING_FROZEN","RELEASE_ARTIFACT","Trace serialized artifact to policy and runtime contract","VERIFIED_RELEASE_GIT_BLOB","Manifest hash is not a substitute for canonical artifact hashing"
"EV-GOLDEN-001","golden_fixture","artifacts/model/golden_inference_fixtures.json","Development-derived inference parity fixtures","Stage 9","090f1d749d9d510dcbc19516f4ed70d98766dd3cee8f617990217dc01d20a0fd","SUPPORTING_FROZEN","RELEASE_ARTIFACT","Support runtime prediction parity checks","VERIFIED_RELEASE_GIT_BLOB","No final holdout rows"
"EV-INTEGRITY-001","artifact_integrity","artifacts/model/artifact_checksums.sha256","Checksums for packaged model artifacts","Stage 9","b45c27c39c56b0ea3949a1cebf10d7cb05bcc4bddf29b702da0ec422079724ce","SUPPORTING_FROZEN","RELEASE_CONTROL","Navigate package-integrity checks","VERIFIED_RELEASE_GIT_BLOB","Assurance verifier independently hashes canonical bytes"
"EV-INTEGRITY-002","artifact_integrity","scripts/frozen_evidence.sha256","Repository control file for frozen evidence","Stage 12","5d56a7680c05ee8048a890673670b830b150ccb682de2d66d7260ecfb6832f93","SUPPORTING_FROZEN","RELEASE_CONTROL","Trace CI frozen-evidence verification","VERIFIED_RELEASE_GIT_BLOB","Lists the four canonical evidence files"
"EV-RUNTIME-001","runtime_implementation","src/creditscope/inference.py","Strict model loading, validation, prediction, and metadata implementation","Stage 9","6cdb03a4700143adffbee6eb8fc465bc4f1079c49dd99cca0b3c731bb6003d29","SUPPORTING","RELEASE_IMPLEMENTATION","Navigate deployed inference semantics","VERIFIED_RELEASE_GIT_BLOB","Source code evidence; runtime behavior requires separate verification"
"EV-API-001","api_contract","src/creditscope/api.py","FastAPI application using the Stage 9 inference layer","Stage 10","44eda9b91d1ed6cb13efb23734367d8d0f2c128aa87c01d2a2cbaf8ede84cd53","SUPPORTING","RELEASE_IMPLEMENTATION","Trace service boundary and metadata endpoints","VERIFIED_RELEASE_GIT_BLOB","No training endpoints"
"EV-CONTAINER-001","container_verification","src/creditscope/container_verify.py","Linux runtime artifact and golden-fixture verifier","Stage 12","03b83ee4c8dffd0e8ad061b642b6e2e65efcf6b4d62cd31449ac77d3a864327c","SUPPORTING","RELEASE_CONTROL","Navigate cross-platform model checks","VERIFIED_RELEASE_GIT_BLOB","Verification implementation is project-authored"
"EV-CONTAINER-002","container_definition","Dockerfile.api","Non-root API runtime image definition","Stage 12","50cc424fd32f68fe41eff96e3e799c47ed5bb45c811baf94cade3cb7d352aafe","SUPPORTING","RELEASE_IMPLEMENTATION","Trace packaged inference runtime scope","VERIFIED_RELEASE_GIT_BLOB","Excludes model-development data and tools by construction"
"EV-CONTAINER-003","container_definition","compose.yaml","Two-service health-gated API and UI topology","Stage 12","6b18dc6dbc106023f95794b375b85b4f190faa31f037971a5652ab07b47149dd","SUPPORTING","RELEASE_IMPLEMENTATION","Navigate service connectivity and hardening controls","VERIFIED_RELEASE_GIT_BLOB","Runtime execution evidence is distinct from configuration"
"EV-CI-001","ci_reproducibility",".github/workflows/ci.yml","Hosted quality, frozen-evidence, API, UI, Linux model, and Compose checks","Stage 12","1ac5570a41f2022962ecaa054b9856050957b394a5a98b025c2d8b7ed42ad4e2","SUPPORTING","RELEASE_CONTROL","Navigate automated reproducibility checks","VERIFIED_RELEASE_GIT_BLOB","Workflow definition is not itself a signed run result"
"EV-METHOD-001","methodology","docs/methodology.md","End-to-end released methodology and stage boundaries","Stages 1-12","a97126bd8afa30815d5b7f243ed0a7ee843e1e82e377cfbf16995e2e6c061645","SUPPORTING","RELEASE_DOCUMENTATION","Navigate development-method claims for later challenge","VERIFIED_RELEASE_GIT_BLOB","A0/A1 does not endorse or score the methodology"
"EV-GOV-001","governance","docs/modeling_governance.md","Feature, evaluation, freeze, and post-release governance rules","Stages 3-12","d656b4302b3314faf4d49950b7f35cf73ad884b9caaad03b562c64685f4e4cd4","SUPPORTING","RELEASE_DOCUMENTATION","Navigate governance claims and controls","VERIFIED_RELEASE_GIT_BLOB","Project-authored governance"
"EV-RELEASE-001","release_provenance","docs/release_provenance.md","Release-candidate provenance and validation narrative","Stage 13","f4517d4e35cdc46377ea2c8d5ce6d36fcd0d14cf649ac15c6bcc24a9e71916ad","SUPPORTING","RELEASE_DOCUMENTATION","Navigate release history and validation claims","VERIFIED_RELEASE_GIT_BLOB","Pre-tag record still says tag pending; Git tag is stronger current custody evidence"
"EV-CONTRACT-001","feature_contract","docs/inference_contract.md","Human-readable strict input, output, threshold, and error contract","Stage 9","e0a822b6b5136f1a70c37dbaf63369a84c3f0328b39fc7534e4756efc4bcc19e","SUPPORTING","RELEASE_DOCUMENTATION","Navigate production inference semantics","VERIFIED_RELEASE_GIT_BLOB","Machine-readable schema is EV-SCHEMA-001"
